movie_title,num_critic_for_reviews,duration,DIRECTOR_facebook_likes,actor_3_facebook_likes,ACTOR_1_facebook_likes,gross,num_voted_users,Cast_Total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,ACTOR_2_facebook_likes,imdb_score,title_year
Monty Python??,602,148,20,161,11000,200074175,275868,11700,1,994,245000000,2015,393,6.8,2017
Life is Beautiful??,813,,22000,23000,27000,448130642,1144337,106759,,2701,250000000,2012,23000,8.5,
Jurassic Park??,462,132,"""515""",530,640,73058679,383056,1873,1,738,263700000,2012,632,6.6,
Minari??,392,156,23,4000,24000,336530303,383056,46055,,1902,258000000,2007,11000,6.2,2009
Roman Holiday??,324,,15,284,799,200807262,294810,,1,387,260000000,2010,553,7.8,
Before??,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,
Sunrise??,635,141,10,19000,26000,458991599,462669,92000,4,1117,250000000,2015,21000,7.5,2016
His Girl??,375,153,282,10000,25000,301956980,321795,58753,3,973,250000000,2009,11000,7.5,
Friday??,673,183,,2000,15000,330249062,,24450,,3018,250000000,2016,,6.9,2015
Carrie??,434,169,,903,18000,200069408,1039645,,2,2367,209000000,2006,10000,6.1,
Jaws??,403,106,368,393,451,168368427,330784,2023,1,1243,200000000,2008,412,6.7,2006
Rocky??,313,151,576,1000,40000,423032628,522040,48486,2,1832,225000000,2006,5000,7.3,2007
